Year,Week,Need State,Amount,,,
2021,1,Need State 5,246819.75,,,
2021,2,Need State 5,465099.75,,,
2021,3,Need State 5,548790.75,,,
2021,4,Need State 5,553418.25,,,
2021,5,Need State 5,323542.5,,,
2021,6,Need State 5,524925,,,
2021,7,Need State 5,462306.75,,,
2021,8,Need State 5,509691.75,,,
2021,9,Need State 5,224058.75,,,
2021,10,Need State 5,420538.5,,,
2021,11,Need State 5,287581.5,,,
2021,12,Need State 5,660348.75,,,
2021,13,Need State 5,864904.5,,,
2021,14,Need State 5,992937,,,
2021,15,Need State 5,555201.75,,,
2021,16,Need State 5,324018.75,,,
2021,17,Need State 5,407784.75,,,
2021,18,Need State 5,588853.5,,,
2021,19,Need State 5,462042.75,,,
2021,20,Need State 5,437219.25,,,
2021,21,Need State 5,1303386,,,
2021,22,Need State 5,444084,,,
2021,23,Need State 5,475248,,,
2021,24,Need State 5,424869,,,
2021,25,Need State 5,669768,,,
2021,26,Need State 5,816594,,,
2021,27,Need State 5,697385.25,,,
2021,28,Need State 5,506658.75,,,
2021,29,Need State 5,442292.25,,,
2021,30,Need State 5,447265.5,,,
2021,31,Need State 5,585342,,,
2021,32,Need State 5,531677.25,,,
2021,33,Need State 5,1149696,,,
2021,34,Need State 5,772803,,,
2021,35,Need State 5,350067.75,,,
2021,36,Need State 5,431654.25,,,
2021,37,Need State 5,401247.75,,,
2021,38,Need State 5,477400.5,,,
2021,39,Need State 5,686050.5,,,
2021,40,Need State 5,236986.5,,,
2021,41,Need State 5,1000242.75,,,
2021,42,Need State 5,381074.25,,,
2021,43,Need State 5,387342,,,
2021,44,Need State 5,344643,,,
2021,45,Need State 5,474536.25,,,
2021,46,Need State 5,336150,,,
2021,47,Need State 5,332483.25,,,
2021,48,Need State 5,206840.25,,,
2021,49,Need State 5,354144,,,
2021,50,Need State 5,370041.75,,,
2021,51,Need State 5,785989.5,,,
2021,52,Need State 5,301517.25,,,
2022,1,Need State 5,323888.25,,,
2022,2,Need State 5,564081,,,
2022,3,Need State 5,328036.5,,,
2022,4,Need State 5,472599.75,,,
2022,5,Need State 5,517918.5,,,
2022,6,Need State 5,266755.5,,,
2022,7,Need State 5,311679.75,,,
2022,8,Need State 5,177261.75,,,
2022,9,Need State 5,1193739,,,
2022,10,Need State 5,670185.75,,,
2022,11,Need State 5,291765.75,,,
2022,12,Need State 5,680735.25,,,
2022,13,Need State 5,829482.75,,,
2022,14,Need State 5,905097.75,,,
2022,15,Need State 5,446220.75,,,
2022,16,Need State 5,640003.5,,,
2022,17,Need State 5,239607,,,
2022,18,Need State 5,1422577.5,,,
2022,19,Need State 5,884607.75,,,
2022,20,Need State 5,1185709.5,,,
2022,21,Need State 5,634808.25,,,
2022,22,Need State 5,344255.25,,,
2022,23,Need State 5,304602.75,,,
2022,24,Need State 5,627080.25,,,
2022,25,Need State 5,517377,,,
2022,26,Need State 5,284659.5,,,
2022,27,Need State 5,425949.75,,,
2022,28,Need State 5,811161,,,
2022,29,Need State 5,569270.25,,,
2022,30,Need State 5,778722.75,,,
2022,31,Need State 5,566001.75,,,
2022,32,Need State 5,911864.25,,,
2022,33,Need State 5,611402.25,,,
2022,34,Need State 5,521358,,,
2022,35,Need State 5,950898.75,,,
2022,36,Need State 5,428981.25,,,
2022,37,Need State 5,437718.75,,,
2022,38,Need State 5,357991.5,,,
2022,39,Need State 5,539021.25,,,
2022,40,Need State 5,768370.5,,,
2022,41,Need State 5,294296.25,,,
2022,42,Need State 5,437852.25,,,
2022,43,Need State 5,231427.5,,,
2022,44,Need State 5,263952,,,
2022,45,Need State 5,631227,,,
2022,46,Need State 5,1653645,,,
2022,47,Need State 5,518326.5,,,
2022,48,Need State 5,833511.75,,,
2022,49,Need State 5,567624.75,,,
2022,50,Need State 5,207589.5,,,
2022,51,Need State 5,279925.5,,,
2022,52,Need State 5,105966,,,
2023,1,Need State 5,212403,,,
2023,2,Need State 5,591490.5,,,
2023,3,Need State 5,509800.5,,,
2023,4,Need State 5,457559.25,,,
2023,5,Need State 5,512340.75,,,
2023,6,Need State 5,317072.25,,,
2023,7,Need State 5,247135.5,,,
2023,8,Need State 5,277707,,,
2023,9,Need State 5,1066735.5,,,
2023,10,Need State 5,1108142.25,,,
2023,11,Need State 5,547003.5,,,
2023,12,Need State 5,791797.5,,,
2023,13,Need State 5,700515.75,,,
2023,14,Need State 5,162457.5,,,
2023,15,Need State 5,1151739,,,
2023,16,Need State 5,840242.25,,,
2023,17,Need State 5,787181.25,,,
2023,18,Need State 5,351789,,,
2023,19,Need State 5,481986.75,,,
2023,20,Need State 5,203718,,,
2023,21,Need State 5,638432.25,,,
2023,22,Need State 5,306576,,,
2023,23,Need State 5,325687.5,,,
2023,24,Need State 5,1348201.5,,,
2023,25,Need State 5,562329.75,,,
2023,26,Need State 5,355639.5,,,
2023,27,Need State 5,588289.5,,,
2023,28,Need State 5,571829.25,,,
2023,29,Need State 5,613476.75,,,
2023,30,Need State 5,547067.25,,,
2023,31,Need State 5,360810,,,
2023,32,Need State 5,714004.5,,,
2023,33,Need State 5,1046736,,,
2023,34,Need State 5,532166.25,,,
2023,35,Need State 5,351393,,,
2023,36,Need State 5,491935.5,,,
2023,37,Need State 5,586676.25,,,
2023,38,Need State 5,492169.5,,,
2023,39,Need State 5,642145.5,,,
2023,40,Need State 5,628323.75,,,
2023,41,Need State 5,600489,,,
2023,42,Need State 5,1061086.5,,,
2023,43,Need State 5,73047,,,
2023,46,Need State 5,0,,,
2023,50,Need State 5,0,,,
