Year,Week,Need State,Amount,,,
2021,1,Need State 2,251858.25,,,
2021,2,Need State 2,510633.75,,,
2021,3,Need State 2,525278.25,,,
2021,4,Need State 2,480166.5,,,
2021,5,Need State 2,304409.25,,,
2021,6,Need State 2,460572,,,
2021,7,Need State 2,283466.25,,,
2021,8,Need State 2,419211,,,
2021,9,Need State 2,321424.5,,,
2021,10,Need State 2,285894,,,
2021,11,Need State 2,389976,,,
2021,12,Need State 2,357771,,,
2021,13,Need State 2,275889.75,,,
2021,14,Need State 2,354687,,,
2021,15,Need State 2,328035.75,,,
2021,16,Need State 2,259767.75,,,
2021,17,Need State 2,290293.5,,,
2021,18,Need State 2,319240.5,,,
2021,19,Need State 2,261920.25,,,
2021,20,Need State 2,271785,,,
2021,21,Need State 2,516226.5,,,
2021,22,Need State 2,402544.5,,,
2021,23,Need State 2,389661.75,,,
2021,24,Need State 2,522888,,,
2021,25,Need State 2,442374.75,,,
2021,26,Need State 2,371931,,,
2021,27,Need State 2,447534,,,
2021,28,Need State 2,430443,,,
2021,29,Need State 2,351768,,,
2021,30,Need State 2,304865.25,,,
2021,31,Need State 2,542931.75,,,
2021,32,Need State 2,483064.5,,,
2021,33,Need State 2,334887.75,,,
2021,34,Need State 2,179756.25,,,
2021,35,Need State 2,552717.75,,,
2021,36,Need State 2,170965.5,,,
2021,37,Need State 2,419973.75,,,
2021,38,Need State 2,565623,,,
2021,39,Need State 2,282459,,,
2021,40,Need State 2,267213.75,,,
2021,41,Need State 2,468106.5,,,
2021,42,Need State 2,286435.5,,,
2021,43,Need State 2,478903.5,,,
2021,44,Need State 2,512168.25,,,
2021,45,Need State 2,596028.75,,,
2021,46,Need State 2,341327.25,,,
2021,47,Need State 2,506841,,,
2021,48,Need State 2,367848.75,,,
2021,49,Need State 2,330722.25,,,
2021,50,Need State 2,256461,,,
2021,51,Need State 2,395858.25,,,
2021,52,Need State 2,95872.5,,,
2022,1,Need State 2,239328.75,,,
2022,2,Need State 2,299952,,,
2022,3,Need State 2,367634.25,,,
2022,4,Need State 2,250038,,,
2022,5,Need State 2,253847.25,,,
2022,6,Need State 2,243423.75,,,
2022,7,Need State 2,328047,,,
2022,8,Need State 2,188490.75,,,
2022,9,Need State 2,361269.75,,,
2022,10,Need State 2,414115.5,,,
2022,11,Need State 2,324297,,,
2022,12,Need State 2,453584.25,,,
2022,13,Need State 2,378236.25,,,
2022,14,Need State 2,260363.25,,,
2022,15,Need State 2,323847.75,,,
2022,16,Need State 2,354027.75,,,
2022,17,Need State 2,422487,,,
2022,18,Need State 2,383335.5,,,
2022,19,Need State 2,557058,,,
2022,20,Need State 2,364514.25,,,
2022,21,Need State 2,475058.25,,,
2022,22,Need State 2,253146,,,
2022,23,Need State 2,544197,,,
2022,24,Need State 2,559325.25,,,
2022,25,Need State 2,355576.5,,,
2022,26,Need State 2,256360.5,,,
2022,27,Need State 2,259917,,,
2022,28,Need State 2,456874.5,,,
2022,29,Need State 2,433179.75,,,
2022,30,Need State 2,574308,,,
2022,31,Need State 2,249181.5,,,
2022,32,Need State 2,281360.25,,,
2022,33,Need State 2,335745,,,
2022,34,Need State 2,584072.25,,,
2022,35,Need State 2,583513.5,,,
2022,36,Need State 2,289881,,,
2022,37,Need State 2,775083.75,,,
2022,38,Need State 2,727547.25,,,
2022,39,Need State 2,363558.75,,,
2022,40,Need State 2,474627,,,
2022,41,Need State 2,136749,,,
2022,42,Need State 2,534037.5,,,
2022,43,Need State 2,464114.25,,,
2022,44,Need State 2,403141.5,,,
2022,45,Need State 2,412296,,,
2022,46,Need State 2,294026.25,,,
2022,47,Need State 2,588874.5,,,
2022,48,Need State 2,532884,,,
2022,49,Need State 2,336580.5,,,
2022,50,Need State 2,530332.5,,,
2022,51,Need State 2,455372.25,,,
2022,52,Need State 2,525502.5,,,
2023,1,Need State 2,355815,,,
2023,2,Need State 2,304145.25,,,
2023,3,Need State 2,332245.5,,,
2023,4,Need State 2,718207.5,,,
2023,5,Need State 2,282531.75,,,
2023,6,Need State 2,447660.75,,,
2023,7,Need State 2,524059.5,,,
2023,8,Need State 2,273267.75,,,
2023,9,Need State 2,261685.5,,,
2023,10,Need State 2,592058.25,,,
2023,11,Need State 2,129294,,,
2023,12,Need State 2,621302.25,,,
2023,13,Need State 2,514803,,,
2023,14,Need State 2,257869.5,,,
2023,15,Need State 2,517135.5,,,
2023,16,Need State 2,394596,,,
2023,17,Need State 2,289171.5,,,
2023,18,Need State 2,416315.25,,,
2023,19,Need State 2,464193,,,
2023,20,Need State 2,375784.5,,,
2023,21,Need State 2,361045.5,,,
2023,22,Need State 2,437103,,,
2023,23,Need State 2,400559.25,,,
2023,24,Need State 2,248578.5,,,
2023,25,Need State 2,384285.75,,,
2023,26,Need State 2,396233.25,,,
2023,27,Need State 2,282381,,,
2023,28,Need State 2,472785,,,
2023,29,Need State 2,386856.75,,,
2023,30,Need State 2,602944.5,,,
2023,31,Need State 2,392298.75,,,
2023,32,Need State 2,282449.25,,,
2023,33,Need State 2,259446.75,,,
2023,34,Need State 2,877786.5,,,
2023,35,Need State 2,535204.5,,,
2023,36,Need State 2,529875.75,,,
2023,37,Need State 2,622177.5,,,
2023,38,Need State 2,570400.5,,,
2023,39,Need State 2,373893.75,,,
2023,40,Need State 2,296038.5,,,
2023,41,Need State 2,221686.5,,,
2023,42,Need State 2,523613.25,,,
2023,43,Need State 2,17168.25,,,
2023,46,Need State 2,0,,,
2023,50,Need State 2,0,,,
