Year,Week,Need State,Amount,,,
2021,1,Need State 3,209473.5,,,
2021,2,Need State 3,683112,,,
2021,3,Need State 3,627825.75,,,
2021,4,Need State 3,318566.25,,,
2021,5,Need State 3,439665,,,
2021,6,Need State 3,445863.75,,,
2021,7,Need State 3,334146.75,,,
2021,8,Need State 3,332299.5,,,
2021,9,Need State 3,345800.25,,,
2021,10,Need State 3,399765,,,
2021,11,Need State 3,251854.5,,,
2021,12,Need State 3,462864.75,,,
2021,13,Need State 3,264009.75,,,
2021,14,Need State 3,588178.5,,,
2021,15,Need State 3,463776.75,,,
2021,16,Need State 3,327388.5,,,
2021,17,Need State 3,212003.25,,,
2021,18,Need State 3,289918.5,,,
2021,19,Need State 3,229689,,,
2021,20,Need State 3,175822.5,,,
2021,21,Need State 3,468210.75,,,
2021,22,Need State 3,401921.25,,,
2021,23,Need State 3,328473.75,,,
2021,24,Need State 3,582267.75,,,
2021,25,Need State 3,697846.5,,,
2021,26,Need State 3,733339.5,,,
2021,27,Need State 3,622235.25,,,
2021,28,Need State 3,473646,,,
2021,29,Need State 3,531840,,,
2021,30,Need State 3,177859.5,,,
2021,31,Need State 3,353543.25,,,
2021,32,Need State 3,272973.75,,,
2021,33,Need State 3,341965.5,,,
2021,34,Need State 3,220227,,,
2021,35,Need State 3,177987,,,
2021,36,Need State 3,219709.5,,,
2021,37,Need State 3,266729.25,,,
2021,38,Need State 3,481889.25,,,
2021,39,Need State 3,560955,,,
2021,40,Need State 3,243669,,,
2021,41,Need State 3,323962.5,,,
2021,42,Need State 3,129718.5,,,
2021,43,Need State 3,237707.25,,,
2021,44,Need State 3,229542.75,,,
2021,45,Need State 3,377853,,,
2021,46,Need State 3,352458,,,
2021,47,Need State 3,477817.5,,,
2021,48,Need State 3,159486,,,
2021,49,Need State 3,375309,,,
2021,50,Need State 3,398690.25,,,
2021,51,Need State 3,326622,,,
2021,52,Need State 3,152532.75,,,
2022,1,Need State 3,146636.25,,,
2022,2,Need State 3,398277,,,
2022,3,Need State 3,406825.5,,,
2022,4,Need State 3,297513,,,
2022,5,Need State 3,424525.5,,,
2022,6,Need State 3,524013.75,,,
2022,7,Need State 3,393878.25,,,
2022,8,Need State 3,168665.25,,,
2022,9,Need State 3,269997.75,,,
2022,10,Need State 3,213970.5,,,
2022,11,Need State 3,317165.25,,,
2022,12,Need State 3,465645.75,,,
2022,13,Need State 3,479124,,,
2022,14,Need State 3,256968,,,
2022,15,Need State 3,228345,,,
2022,16,Need State 3,289380.75,,,
2022,17,Need State 3,589102.5,,,
2022,18,Need State 3,461808,,,
2022,19,Need State 3,448005,,,
2022,20,Need State 3,218375.25,,,
2022,21,Need State 3,405483,,,
2022,22,Need State 3,279737.25,,,
2022,23,Need State 3,425300.25,,,
2022,24,Need State 3,427752.75,,,
2022,25,Need State 3,941070,,,
2022,26,Need State 3,269085.75,,,
2022,27,Need State 3,302958.75,,,
2022,28,Need State 3,331095,,,
2022,29,Need State 3,562457.25,,,
2022,30,Need State 3,895302,,,
2022,31,Need State 3,541816.5,,,
2022,32,Need State 3,387649.5,,,
2022,33,Need State 3,340545,,,
2022,34,Need State 3,284383.5,,,
2022,35,Need State 3,189370.5,,,
2022,36,Need State 3,194817,,,
2022,37,Need State 3,459683.25,,,
2022,38,Need State 3,510553.5,,,
2022,39,Need State 3,348709.5,,,
2022,40,Need State 3,311898.75,,,
2022,41,Need State 3,84457.5,,,
2022,42,Need State 3,243857.25,,,
2022,43,Need State 3,268193.25,,,
2022,44,Need State 3,359943.75,,,
2022,45,Need State 3,291117,,,
2022,46,Need State 3,290472,,,
2022,47,Need State 3,387636.75,,,
2022,48,Need State 3,322858.5,,,
2022,49,Need State 3,404150.25,,,
2022,50,Need State 3,397554.75,,,
2022,51,Need State 3,354156.75,,,
2022,52,Need State 3,371010.75,,,
2023,1,Need State 3,323960.25,,,
2023,2,Need State 3,309346.5,,,
2023,3,Need State 3,340034.25,,,
2023,4,Need State 3,435669,,,
2023,5,Need State 3,320430.75,,,
2023,6,Need State 3,511701,,,
2023,7,Need State 3,313763.25,,,
2023,8,Need State 3,193104.75,,,
2023,9,Need State 3,145835.25,,,
2023,10,Need State 3,138671.25,,,
2023,11,Need State 3,163649.25,,,
2023,12,Need State 3,218181.75,,,
2023,13,Need State 3,385325.25,,,
2023,14,Need State 3,194237.25,,,
2023,15,Need State 3,359034,,,
2023,16,Need State 3,336595.5,,,
2023,17,Need State 3,483687,,,
2023,18,Need State 3,472200,,,
2023,19,Need State 3,327549.75,,,
2023,20,Need State 3,217059.75,,,
2023,21,Need State 3,276441,,,
2023,22,Need State 3,278223.75,,,
2023,23,Need State 3,216627.75,,,
2023,24,Need State 3,244434,,,
2023,25,Need State 3,635149.5,,,
2023,26,Need State 3,495052.5,,,
2023,27,Need State 3,298498.5,,,
2023,28,Need State 3,344888.25,,,
2023,29,Need State 3,351816.75,,,
2023,30,Need State 3,543558,,,
2023,31,Need State 3,406000.5,,,
2023,32,Need State 3,215514,,,
2023,33,Need State 3,217524.75,,,
2023,34,Need State 3,512045.25,,,
2023,35,Need State 3,385449,,,
2023,36,Need State 3,249826.5,,,
2023,37,Need State 3,530941.5,,,
2023,38,Need State 3,355029,,,
2023,39,Need State 3,199078.5,,,
2023,40,Need State 3,301844.25,,,
2023,41,Need State 3,121078.5,,,
2023,42,Need State 3,377325.75,,,
2023,43,Need State 3,19847.25,,,
2023,46,Need State 3,0,,,
2023,50,Need State 3,0,,,
