Year,Week,Need State,Amount,,,
2021,1,Need State 1,132818.25,,,
2021,2,Need State 1,395708.25,,,
2021,3,Need State 1,207779.25,,,
2021,4,Need State 1,323169.75,,,
2021,5,Need State 1,71536.5,,,
2021,6,Need State 1,980441.25,,,
2021,7,Need State 1,316326,,,
2021,8,Need State 1,480405,,,
2021,9,Need State 1,1341342.75,,,
2021,10,Need State 1,2721590.25,,,
2021,11,Need State 1,808580.25,,,
2021,12,Need State 1,462552,,,
2021,13,Need State 1,1345166.25,,,
2021,14,Need State 1,1344056.25,,,
2021,15,Need State 1,780374.25,,,
2021,16,Need State 1,416756.25,,,
2021,17,Need State 1,783196.5,,,
2021,18,Need State 1,964353.75,,,
2021,19,Need State 1,644009.25,,,
2021,20,Need State 1,210880.5,,,
2021,21,Need State 1,572421,,,
2021,22,Need State 1,1371993.75,,,
2021,23,Need State 1,188688.75,,,
2021,24,Need State 1,265803,,,
2021,25,Need State 1,582181.5,,,
2021,26,Need State 1,374456.25,,,
2021,27,Need State 1,744354.75,,,
2021,28,Need State 1,153197.25,,,
2021,29,Need State 1,403191,,,
2021,30,Need State 1,566452.5,,,
2021,31,Need State 1,487445.25,,,
2021,32,Need State 1,1052920.5,,,
2021,33,Need State 1,658275.75,,,
2021,34,Need State 1,520768.5,,,
2021,35,Need State 1,324585,,,
2021,36,Need State 1,320163,,,
2021,37,Need State 1,398962.5,,,
2021,38,Need State 1,632085.75,,,
2021,39,Need State 1,1025997.75,,,
2021,40,Need State 1,80189.25,,,
2021,41,Need State 1,650490,,,
2021,42,Need State 1,319992,,,
2021,43,Need State 1,192120.75,,,
2021,44,Need State 1,223115.25,,,
2021,45,Need State 1,247068,,,
2021,46,Need State 1,163740,,,
2021,47,Need State 1,523181.25,,,
2021,48,Need State 1,384503.25,,,
2021,49,Need State 1,343218,,,
2021,50,Need State 1,314396.25,,,
2021,51,Need State 1,804323.25,,,
2021,52,Need State 1,118671.75,,,
2022,1,Need State 1,225132,,,
2022,2,Need State 1,720135,,,
2022,3,Need State 1,227398.5,,,
2022,4,Need State 1,295862.25,,,
2022,5,Need State 1,473947.5,,,
2022,6,Need State 1,615947.25,,,
2022,7,Need State 1,405015,,,
2022,8,Need State 1,273339,,,
2022,9,Need State 1,1633242,,,
2022,10,Need State 1,1767609,,,
2022,11,Need State 1,401660.25,,,
2022,12,Need State 1,923920.5,,,
2022,13,Need State 1,1434591.75,,,
2022,14,Need State 1,1005565.5,,,
2022,15,Need State 1,197555.25,,,
2022,16,Need State 1,745246.5,,,
2022,17,Need State 1,746291.25,,,
2022,18,Need State 1,1124841,,,
2022,19,Need State 1,825480,,,
2022,20,Need State 1,786371.25,,,
2022,21,Need State 1,1481271.75,,,
2022,22,Need State 1,578701.5,,,
2022,23,Need State 1,464439,,,
2022,24,Need State 1,240153.75,,,
2022,25,Need State 1,793471.5,,,
2022,26,Need State 1,423244.5,,,
2022,27,Need State 1,681434.25,,,
2022,28,Need State 1,765796.5,,,
2022,29,Need State 1,752730.75,,,
2022,30,Need State 1,1059818.25,,,
2022,31,Need State 1,398173.5,,,
2022,32,Need State 1,470028.75,,,
2022,33,Need State 1,323103.75,,,
2022,34,Need State 1,296668.5,,,
2022,35,Need State 1,252782.25,,,
2022,36,Need State 1,507331.5,,,
2022,37,Need State 1,430035.75,,,
2022,38,Need State 1,226007.25,,,
2022,39,Need State 1,903702.75,,,
2022,40,Need State 1,404039.25,,,
2022,41,Need State 1,467307.75,,,
2022,42,Need State 1,355674.75,,,
2022,43,Need State 1,464072.25,,,
2022,44,Need State 1,584742,,,
2022,45,Need State 1,341031,,,
2022,46,Need State 1,290879.25,,,
2022,47,Need State 1,404397.75,,,
2022,48,Need State 1,1144957.5,,,
2022,49,Need State 1,316549.5,,,
2022,50,Need State 1,228326.25,,,
2022,51,Need State 1,221402.25,,,
2022,52,Need State 1,145563.75,,,
2023,1,Need State 1,230725.5,,,
2023,2,Need State 1,402216.75,,,
2023,3,Need State 1,227010,,,
2023,4,Need State 1,660403.5,,,
2023,5,Need State 1,216312.75,,,
2023,6,Need State 1,470031.75,,,
2023,7,Need State 1,970320.75,,,
2023,8,Need State 1,675896.25,,,
2023,9,Need State 1,490109.25,,,
2023,10,Need State 1,491008.5,,,
2023,11,Need State 1,308736,,,
2023,12,Need State 1,1049037.75,,,
2023,13,Need State 1,645898.5,,,
2023,14,Need State 1,1002380.25,,,
2023,15,Need State 1,1767828.75,,,
2023,16,Need State 1,176432.25,,,
2023,17,Need State 1,269017.5,,,
2023,18,Need State 1,206453.25,,,
2023,19,Need State 1,390882.75,,,
2023,20,Need State 1,1487977.5,,,
2023,21,Need State 1,698655.75,,,
2023,22,Need State 1,746046.75,,,
2023,23,Need State 1,999733.5,,,
2023,24,Need State 1,531712.5,,,
2023,25,Need State 1,377751,,,
2023,26,Need State 1,250761,,,
2023,27,Need State 1,1204352.25,,,
2023,28,Need State 1,367971,,,
2023,29,Need State 1,868491.75,,,
2023,30,Need State 1,770667,,,
2023,31,Need State 1,557550.75,,,
2023,32,Need State 1,483608.25,,,
2023,33,Need State 1,433434,,,
2023,34,Need State 1,724118.25,,,
2023,35,Need State 1,330154.5,,,
2023,36,Need State 1,348156.75,,,
2023,37,Need State 1,310632,,,
2023,38,Need State 1,456982.5,,,
2023,39,Need State 1,436667.25,,,
2023,40,Need State 1,356974.5,,,
2023,41,Need State 1,550887,,,
2023,42,Need State 1,905002.5,,,
2023,43,Need State 1,196313.25,,,
2023,46,Need State 1,0,,,
2023,50,Need State 1,0,,,
