,Date,Year,Week,Amount_Factory_POS,Amount_Total_Ecomm_POS
115,2023-03-20,2023,12,331062.75,5775.75
116,2023-03-27,2023,13,293667.75,4848.0
117,2023-04-03,2023,14,304743.0,4256.25
118,2023-04-10,2023,15,243654.75,8676.75
119,2023-04-17,2023,16,358572.0,6813.75
120,2023-04-24,2023,17,290220.0,6177.75
121,2023-05-01,2023,18,334182.75,6449.25
122,2023-05-08,2023,19,281482.5,6885.75
123,2023-05-15,2023,20,334521.75,5414.25
124,2023-05-22,2023,21,269499.75,6283.5
125,2023-05-29,2023,22,333930.75,6373.5
126,2023-06-05,2023,23,292230.75,8634.0
127,2023-06-12,2023,24,376217.25,7368.75
128,2023-06-19,2023,25,294372.75,7879.5
129,2023-06-26,2023,26,345997.5,4768.5
130,2023-07-03,2023,27,284214.75,7866.0
131,2023-07-10,2023,28,334276.5,6985.5
132,2023-07-17,2023,29,330488.25,7682.25
133,2023-07-24,2023,30,332345.25,6594.75
134,2023-07-31,2023,31,339026.25,6403.5
135,2023-08-07,2023,32,335833.5,5403.75
136,2023-08-14,2023,33,298444.5,8136.0
137,2023-08-21,2023,34,360573.75,4803.75
138,2023-08-28,2023,35,284043.0,6606.0
139,2023-09-04,2023,36,349973.25,4928.25
140,2023-09-11,2023,37,258033.75,4743.0
141,2023-09-18,2023,38,288267.75,6272.25
142,2023-09-25,2023,39,281512.5,6846.0
143,2023-10-02,2023,40,331614.0,5431.5
144,2023-10-09,2023,41,271016.25,0.0
145,2023-10-09,2023,42,0.0,0.0
146,2023-10-09,2023,43,0.0,0.0
147,2023-10-09,2023,44,0.0,0.0
148,2023-10-09,2023,45,0.0,0.0
149,2023-10-09,2023,46,0.0,0.0
150,2023-10-09,2023,47,0.0,0.0
151,2023-10-09,2023,48,0.0,0.0
152,2023-10-09,2023,49,0.0,0.0
153,2023-10-09,2023,50,0.0,0.0
154,2023-10-09,2023,51,0.0,0.0
155,2023-10-09,2023,52,0.0,6521.25
