Year,Week,Need State,Dc Amount,Store Amt On Hand,Date
2021,16,Need State 3,1660808.25,4025804.25,2021-04-19
2021,16,Need State 4,1048158.0,1994679.0,2021-04-19
2021,16,Need State 5,1767557.25,2933437.5,2021-04-19
2021,16,Need State 6,1744170.0,2925371.25,2021-04-19
2021,17,Need State 1,4738584.0,5607678.0,2021-04-26
2021,17,Need State 2,1275079.5,2596359.0,2021-04-26
2021,17,Need State 3,1560168.75,4114212.75,2021-04-26
2021,17,Need State 4,1045552.5,1839399.75,2021-04-26
2021,17,Need State 5,1871906.25,2954375.25,2021-04-26
2021,17,Need State 6,1576297.5,3272585.25,2021-04-26
2021,18,Need State 1,4768413.75,5416505.25,2021-05-03
2021,18,Need State 2,1146483.75,2548607.25,2021-05-03
2021,18,Need State 3,1455246.0,3989791.5,2021-05-03
2021,18,Need State 4,1046663.25,1922343.0,2021-05-03
2021,18,Need State 5,2165765.25,2860964.25,2021-05-03
2021,18,Need State 6,1479793.5,3137842.5,2021-05-03
2021,19,Need State 1,4185400.5,5377881.0,2021-05-10
2021,19,Need State 2,1050811.5,2477178.75,2021-05-10
2021,19,Need State 3,1371755.25,3961887.75,2021-05-10
2021,19,Need State 4,975624.0,1894047.75,2021-05-10
2021,19,Need State 5,2000991.0,2879776.5,2021-05-10
2021,19,Need State 6,1363840.5,3079540.5,2021-05-10
2021,20,Need State 1,3583250.25,5136009.0,2021-05-17
2021,20,Need State 2,868528.5,2407791.0,2021-05-17
2021,20,Need State 3,1223383.5,3960268.5,2021-05-17
2021,20,Need State 4,955018.5,1817964.75,2021-05-17
2021,20,Need State 5,1685070.0,2803767.0,2021-05-17
2021,20,Need State 6,1499818.5,3003623.25,2021-05-17
2021,21,Need State 1,4222021.5,5352915.75,2021-05-24
2021,21,Need State 2,967109.25,2363865.0,2021-05-24
2021,21,Need State 3,1291726.5,3856012.5,2021-05-24
2021,21,Need State 4,737964.75,1900607.25,2021-05-24
2021,21,Need State 5,1376120.25,2744557.5,2021-05-24
2021,21,Need State 6,1743870.75,2911711.5,2021-05-24
2021,22,Need State 1,3720159.75,5118456.75,2021-05-31
2021,22,Need State 2,947630.25,2310818.25,2021-05-31
2021,22,Need State 3,1263054.75,3811452.0,2021-05-31
2021,22,Need State 4,668391.0,1806172.5,2021-05-31
2021,22,Need State 5,1171755.0,2728202.25,2021-05-31
2021,22,Need State 6,1767940.5,2751394.5,2021-05-31
2021,23,Need State 1,3057247.5,4931239.5,2021-06-07
2021,23,Need State 2,1008118.5,2371276.5,2021-06-07
2021,23,Need State 3,1341347.25,3720621.0,2021-06-07
2021,23,Need State 4,718674.0,1791743.25,2021-06-07
2021,23,Need State 5,1096478.25,2593535.25,2021-06-07
2021,23,Need State 6,1824477.75,2767479.0,2021-06-07
2021,24,Need State 1,2618924.25,4965363.0,2021-06-14
2021,24,Need State 2,1035546.0,2400779.25,2021-06-14
2021,24,Need State 3,1431467.25,3743088.0,2021-06-14
2021,24,Need State 4,854339.25,1786854.75,2021-06-14
2021,24,Need State 5,1051805.25,2451822.0,2021-06-14
2021,24,Need State 6,1646009.25,2780427.75,2021-06-14
2021,25,Need State 1,2493813.75,5521113.0,2021-06-21
2021,25,Need State 2,1138927.5,2421497.25,2021-06-21
2021,25,Need State 3,1583995.5,3708614.25,2021-06-21
2021,25,Need State 4,797413.5,1887614.25,2021-06-21
2021,25,Need State 5,877903.5,2425776.75,2021-06-21
2021,25,Need State 6,1826739.0,2871897.0,2021-06-21
2021,26,Need State 1,2210718.75,5171770.5,2021-06-28
2021,26,Need State 2,1111259.25,2436282.0,2021-06-28
2021,26,Need State 3,1459056.0,3845141.25,2021-06-28
2021,26,Need State 4,699206.25,1955033.25,2021-06-28
2021,26,Need State 5,732788.25,2325798.0,2021-06-28
2021,26,Need State 6,1621996.5,2766897.75,2021-06-28
2021,27,Need State 1,2800599.0,4893369.0,2021-07-05
2021,27,Need State 2,1324496.25,2417480.25,2021-07-05
2021,27,Need State 3,1745280.75,3677203.5,2021-07-05
2021,27,Need State 4,778773.75,1917724.5,2021-07-05
2021,27,Need State 5,566187.0,2216307.0,2021-07-05
2021,27,Need State 6,1546185.75,2614302.0,2021-07-05
2021,28,Need State 1,2485851.75,4834065.75,2021-07-12
2021,28,Need State 2,1349715.75,2390312.25,2021-07-12
2021,28,Need State 3,1986576.75,3783186.0,2021-07-12
2021,28,Need State 4,855797.25,1879984.5,2021-07-12
2021,28,Need State 5,634808.25,2051960.25,2021-07-12
2021,28,Need State 6,1573091.25,2653616.25,2021-07-12
2021,29,Need State 1,1875072.75,4766124.0,2021-07-19
2021,29,Need State 2,1154028.75,2401224.75,2021-07-19
2021,29,Need State 3,1820496.0,4290505.5,2021-07-19
2021,29,Need State 4,566878.5,2017026.0,2021-07-19
2021,29,Need State 5,569079.75,2022538.5,2021-07-19
2021,29,Need State 6,1293765.0,3060789.0,2021-07-19
2021,30,Need State 1,2189743.5,4648371.75,2021-07-26
2021,30,Need State 2,1111641.75,2396415.75,2021-07-26
2021,30,Need State 3,1806902.25,4330515.0,2021-07-26
2021,30,Need State 4,765851.25,1952043.75,2021-07-26
2021,30,Need State 5,540206.25,1928239.5,2021-07-26
2021,30,Need State 6,1313214.0,3056483.25,2021-07-26
2021,31,Need State 1,2304342.0,4475928.0,2021-08-02
2021,31,Need State 2,1312462.5,2581758.75,2021-08-02
2021,31,Need State 3,1583692.5,4288314.0,2021-08-02
2021,31,Need State 4,711614.25,1922523.75,2021-08-02
2021,31,Need State 5,496543.5,1715198.25,2021-08-02
2021,31,Need State 6,1398315.75,2969897.25,2021-08-02
2021,32,Need State 1,2227295.25,4442744.25,2021-08-09
2021,32,Need State 2,1290095.25,2537719.5,2021-08-09
2021,32,Need State 3,1461759.0,4235473.5,2021-08-09
2021,32,Need State 4,937434.75,1868707.5,2021-08-09
2021,32,Need State 5,523584.75,1577806.5,2021-08-09
2021,32,Need State 6,1293193.5,2860116.75,2021-08-09
2021,33,Need State 1,2402760.0,4599898.5,2021-08-16
2021,33,Need State 2,1389190.5,2730018.0,2021-08-16
2021,33,Need State 3,1584912.75,4344857.25,2021-08-16
2021,33,Need State 4,1362579.75,1933717.5,2021-08-16
2021,33,Need State 5,491658.0,1522392.75,2021-08-16
2021,33,Need State 6,2015001.0,2788848.75,2021-08-16
2021,34,Need State 1,2229888.75,4435625.25,2021-08-23
2021,34,Need State 2,1262043.75,2700122.25,2021-08-23
2021,34,Need State 3,1441704.0,4282995.0,2021-08-23
2021,34,Need State 4,1240429.5,2095533.0,2021-08-23
2021,34,Need State 5,469830.75,1443813.0,2021-08-23
2021,34,Need State 6,1944154.5,2789075.25,2021-08-23
2021,35,Need State 1,2009406.0,4368488.25,2021-08-30
2021,35,Need State 2,1082334.75,2671679.25,2021-08-30
2021,35,Need State 3,1199376.0,4216323.0,2021-08-30
2021,35,Need State 4,845853.75,2182830.75,2021-08-30
2021,35,Need State 5,456770.25,1394332.5,2021-08-30
2021,35,Need State 6,1767913.5,2754104.25,2021-08-30
2021,36,Need State 1,1811052.75,4328462.25,2021-09-06
2021,36,Need State 2,892539.0,2635284.0,2021-09-06
2021,36,Need State 3,1071735.75,4210149.75,2021-09-06
2021,36,Need State 4,785573.25,2148377.25,2021-09-06
2021,36,Need State 5,436785.75,1352081.25,2021-09-06
2021,36,Need State 6,1573385.25,2780260.5,2021-09-06
2021,37,Need State 1,1978428.75,4202687.25,2021-09-13
2021,37,Need State 2,743238.0,2678554.5,2021-09-13
2021,37,Need State 3,950578.5,4199922.0,2021-09-13
2021,37,Need State 4,910599.0,2206621.5,2021-09-13
2021,37,Need State 5,415316.25,1187435.25,2021-09-13
2021,37,Need State 6,1627945.5,2755306.5,2021-09-13
2021,38,Need State 1,1837530.0,4189131.0,2021-09-20
2021,38,Need State 2,680382.75,2622080.25,2021-09-20
2021,38,Need State 3,956617.5,4246850.25,2021-09-20
2021,38,Need State 4,794007.75,2215599.0,2021-09-20
2021,38,Need State 5,403522.5,1048380.75,2021-09-20
2021,38,Need State 6,1580968.5,2849205.0,2021-09-20
2021,39,Need State 1,2153181.75,4201519.5,2021-09-27
2021,39,Need State 2,638931.75,2670129.0,2021-09-27
2021,39,Need State 3,1034995.5,4186123.5,2021-09-27
2021,39,Need State 4,720269.25,2319528.75,2021-09-27
2021,39,Need State 5,363399.0,999865.5,2021-09-27
2021,39,Need State 6,1637346.0,2786768.25,2021-09-27
2021,40,Need State 1,2187683.25,4133904.75,2021-10-04
2021,40,Need State 2,664379.25,2562806.25,2021-10-04
2021,40,Need State 3,1095846.0,4117729.5,2021-10-04
2021,40,Need State 4,864545.25,2159055.0,2021-10-04
2021,40,Need State 5,352750.5,954462.0,2021-10-04
2021,40,Need State 6,1685004.75,2773452.75,2021-10-04
2021,41,Need State 1,2287858.5,4154016.75,2021-10-11
2021,41,Need State 2,746744.25,3374835.75,2021-10-11
2021,41,Need State 3,930310.5,4280195.25,2021-10-11
2021,41,Need State 4,1299327.75,2293140.75,2021-10-11
2021,41,Need State 5,341005.5,932326.5,2021-10-11
2021,41,Need State 6,1812618.75,2745588.0,2021-10-11
2021,42,Need State 1,2258578.5,4131496.5,2021-10-18
2021,42,Need State 2,898696.5,3382311.75,2021-10-18
2021,42,Need State 3,1122779.25,4359278.25,2021-10-18
2021,42,Need State 4,1289298.75,2320704.0,2021-10-18
2021,42,Need State 5,226942.5,920925.75,2021-10-18
2021,42,Need State 6,1935176.25,2767561.5,2021-10-18
2021,43,Need State 1,2078940.0,4084359.0,2021-10-25
2021,43,Need State 2,992579.25,3350259.0,2021-10-25
2021,43,Need State 3,1037039.25,4266784.5,2021-10-25
2021,43,Need State 4,1066103.25,2292237.75,2021-10-25
2021,43,Need State 5,294897.75,913094.25,2021-10-25
2021,43,Need State 6,1915487.25,2781456.75,2021-10-25
2021,44,Need State 1,1967236.5,4090227.75,2021-11-01
2021,44,Need State 2,1018754.25,3295037.25,2021-11-01
2021,44,Need State 3,959034.0,4243719.75,2021-11-01
2021,44,Need State 4,827304.75,2325026.25,2021-11-01
2021,44,Need State 5,182847.75,893018.25,2021-11-01
2021,44,Need State 6,1916636.25,2733363.0,2021-11-01
2021,45,Need State 1,1766007.75,4037955.0,2021-11-08
2021,45,Need State 2,1280847.75,3233085.0,2021-11-08
2021,45,Need State 3,1075995.75,4159340.25,2021-11-08
2021,45,Need State 4,909246.0,2283995.25,2021-11-08
2021,45,Need State 5,172085.25,881946.0,2021-11-08
2021,45,Need State 6,1871563.5,2669148.75,2021-11-08
2021,46,Need State 1,1772478.75,3977697.0,2021-11-15
2021,46,Need State 2,1209935.25,3219830.25,2021-11-15
2021,46,Need State 3,1094258.25,4106807.25,2021-11-15
2021,46,Need State 4,962713.5,2203873.5,2021-11-15
2021,46,Need State 5,168414.0,867792.75,2021-11-15
2021,46,Need State 6,1763832.0,2673528.0,2021-11-15
2021,47,Need State 1,1709643.0,3933765.0,2021-11-22
2021,47,Need State 2,1146784.5,3272108.25,2021-11-22
2021,47,Need State 3,1245589.5,4068462.75,2021-11-22
2021,47,Need State 4,1012397.25,2101588.5,2021-11-22
2021,47,Need State 5,169581.75,862029.75,2021-11-22
2021,47,Need State 6,1611594.0,2616399.75,2021-11-22
2021,48,Need State 1,1648735.5,3926124.0,2021-11-29
2021,48,Need State 2,1224609.75,3343976.25,2021-11-29
2021,48,Need State 3,1250385.75,4030890.75,2021-11-29
2021,48,Need State 4,1112517.0,2050989.0,2021-11-29
2021,48,Need State 5,162201.75,857832.0,2021-11-29
2021,48,Need State 6,1481349.0,2597160.0,2021-11-29
2021,49,Need State 1,1799262.75,3923584.5,2021-12-06
2021,49,Need State 2,1183906.5,3250760.25,2021-12-06
2021,49,Need State 3,1140785.25,3980202.0,2021-12-06
2021,49,Need State 4,1030555.5,2067675.75,2021-12-06
2021,49,Need State 5,186630.75,849217.5,2021-12-06
2021,49,Need State 6,1337476.5,2567355.0,2021-12-06
2021,50,Need State 1,1764952.5,3890427.0,2021-12-13
2021,50,Need State 2,1216697.25,3129087.0,2021-12-13
2021,50,Need State 3,1277717.25,3952218.0,2021-12-13
2021,50,Need State 4,1057341.75,1960471.5,2021-12-13
2021,50,Need State 5,187236.75,831126.0,2021-12-13
2021,50,Need State 6,1384009.5,2520814.5,2021-12-13
2021,51,Need State 1,1805510.25,3849951.0,2021-12-20
2021,51,Need State 2,951240.0,2870991.75,2021-12-20
2021,51,Need State 3,1309312.5,3794686.5,2021-12-20
2021,51,Need State 4,948471.0,1940378.25,2021-12-20
2021,51,Need State 5,178176.0,838800.75,2021-12-20
2021,51,Need State 6,1391955.0,2387293.5,2021-12-20
2021,52,Need State 1,1952004.0,3872801.25,2021-12-27
2021,52,Need State 2,843687.0,2758899.0,2021-12-27
2021,52,Need State 3,1110202.5,3896245.5,2021-12-27
2021,52,Need State 4,1039656.0,1992052.5,2021-12-27
2021,52,Need State 5,193203.0,861502.5,2021-12-27
2021,52,Need State 6,1328466.0,2419987.5,2021-12-27
2022,1,Need State 1,1849125.0,3833880.75,2022-01-03
2022,1,Need State 2,727968.0,2741374.5,2022-01-03
2022,1,Need State 3,1043247.0,3964887.75,2022-01-03
2022,1,Need State 4,794529.75,2049757.5,2022-01-03
2022,1,Need State 5,174625.5,863618.25,2022-01-03
2022,1,Need State 6,1429727.25,2410957.5,2022-01-03
2022,2,Need State 1,1886235.0,3846775.5,2022-01-10
2022,2,Need State 2,688170.0,2700783.0,2022-01-10
2022,2,Need State 3,1016256.0,3898632.0,2022-01-10
2022,2,Need State 4,867558.0,1976493.0,2022-01-10
2022,2,Need State 5,195345.75,854471.25,2022-01-10
2022,2,Need State 6,1388792.25,2434471.5,2022-01-10
2022,3,Need State 1,1966980.0,3852201.0,2022-01-17
2022,3,Need State 2,727232.25,2690676.75,2022-01-17
2022,3,Need State 3,1205241.75,3800191.5,2022-01-17
2022,3,Need State 4,1080168.75,1947301.5,2022-01-17
2022,3,Need State 5,198354.75,849681.0,2022-01-17
2022,3,Need State 6,1434927.75,2376165.75,2022-01-17
2022,4,Need State 1,1784772.0,3850652.25,2022-01-24
2022,4,Need State 2,741632.25,2648196.75,2022-01-24
2022,4,Need State 3,1246990.5,3807639.0,2022-01-24
